カテゴリ,軸,採点方式,大分類,大分類順,小分類,小分類順,項目名,説明,重み,表示順,根拠必須,使用
自律成長力,自律成長力,1 / 2 評価,必須: 品質,40,再発防止,30,発生した不具合の原因を整理し 再発防止を考えられる,対処だけで終わらず 次に活かせるかを見る,1,180,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 品質,40,レビュー活用,40,指摘を受けた内容を理解し 次の成果物へ反映できる,指摘を成長や品質向上へつなげられるかを見る,1,190,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 品質,40,完成責任,50,品質を他人任せにせず 自分の成果物に責任を持てる,自分の仕事の品質を最後まで担保する姿勢を見る,1,200,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 運用保守,50,問い合わせ対応,10,問い合わせや障害の状況を整理し 一次切り分けができる,状況整理と原因仮説を持って対応できるかを見る,1,210,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 運用保守,50,安全対応,20,運用中のシステムに対して 影響を意識しながら安全に対応できる,本番運用の慎重さを持って行動できるかを見る,1,220,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 運用保守,50,継続改善,30,日々の運用の中から課題に気づき 改善提案ができる,ルーチン作業から改善機会を見つけられるかを見る,1,230,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 課題解決,60,原因整理,10,起きている問題を整理し 何が原因かを切り分けて考えられる,現象と原因を分けて考えられるかを見る,1,240,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 課題解決,60,対応案比較,20,複数の対応案を比較し 妥当な方法を選んで進められる,思いつきではなく比較検討して判断できるかを見る,1,250,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 対話推進,70,報連相,10,必要な報告 連絡 相談を適切なタイミングで行っている,相談が遅れず 周囲が動きやすい情報共有ができるかを見る,1,260,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 対話推進,70,認識合わせ,20,相手との認識差があるときに確認し すり合わせを行える,思い込みで進めず 確認を通じて前進できるかを見る,1,270,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 自己成長,80,振り返り,10,自分の課題を振り返り 次に改善する行動を決めている,経験を次の成長に結びつけられるかを見る,1,280,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 自己成長,80,主体性,20,指示待ちではなく 次に必要な行動を考えて動ける,自分で状況を見て必要な一歩を踏み出せるかを見る,1,290,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,必須: 自己成長,80,学習継続,30,必要な知識や技術を継続して学び 業務へ活かしている,学んで終わりではなく 実務に反映できているかを見る,1,300,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 技術課題解決,90,高難度分析,10,難度の高い技術課題を構造的に整理し 解決へ導ける,複雑な課題でも整理して突破口を作れるかを見る,2,310,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 技術課題解決,90,根本原因,20,表面的な対応で終わらず 根本原因を捉えて改善できる,一時対応ではなく 継続的に良くする視点を持てるかを見る,2,320,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 技術課題解決,90,全体最適,30,局所最適でなく 全体影響を踏まえた判断ができる,システム全体や運用影響まで見て判断できるかを見る,2,330,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 技術選定,100,選定判断,10,技術選択の利点と注意点を整理し 妥当な選択肢を示せる,技術判断を根拠付きで行えるかを見る,2,340,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 技術選定,100,標準適用,20,新しい技術や手法を 現場で使える形に落とし込める,新規性だけでなく実務適用まで考えられるかを見る,2,350,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 技術選定,100,制約判断,30,コスト 品質 納期を踏まえて技術判断ができる,技術観点だけでなく事業観点も持てるかを見る,2,360,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 設計高度化,110,アーキ設計,10,複数機能やシステム全体を見た設計方針を示せる,個別最適でなく全体設計を考えられるかを見る,2,370,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 設計高度化,110,拡張設計,20,将来の追加要件を見据えた設計にできる,長期的な拡張を見越した構造にできるかを見る,2,380,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 設計高度化,110,標準設計,30,他者が使いやすい設計の型や指針を整えられる,チーム全体で使える設計知見にできるかを見る,2,390,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 品質改善,120,品質分析,10,不具合傾向や品質課題を分析し 改善ポイントを示せる,品質を感覚でなく分析で捉えられるかを見る,2,400,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 品質改善,120,仕組み化,20,品質向上につながる確認手順や仕組みを整えられる,個人努力を仕組みに変えられるかを見る,2,410,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 品質改善,120,再発抑止,30,再発防止策を継続運用できる形で定着させられる,改善策を定着させて継続成果へつなげられるかを見る,2,420,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 技術標準化,130,再利用化,10,再利用しやすい部品や考え方を整理し 共通化できる,個人の工夫をチーム資産に変えられるかを見る,2,430,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 技術標準化,130,ドキュメント化,20,属人化しやすい知見を文書化し 他者が使える状態にできる,知見を共有可能な形で残せるかを見る,2,440,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 技術標準化,130,運用定着,30,決めた標準やルールをチームに定着させられる,作るだけでなく使われる状態まで持っていけるかを見る,2,450,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 技術指導,140,レビュー指導,10,レビューを通じて他者が理解しやすい指導ができる,指摘だけでなく成長につながる伝え方ができるかを見る,2,460,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 技術指導,140,育成伴走,20,相手の理解度に応じて 技術面の伴走支援ができる,一方的でなく相手に合わせた育成ができるかを見る,2,470,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 技術指導,140,知見共有,30,周囲が理解しやすい形で技術知見を共有できる,自分だけで完結せず技術を周囲へ広げられるかを見る,2,480,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 開発推進,150,リスク先回り,10,技術面のリスクを早めに捉え 対策につなげられる,問題が起こる前に手を打てるかを見る,2,490,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: 開発推進,150,改善主導,20,現場の開発効率や品質を上げる改善を自ら主導できる,周囲を巻き込んで改善を前進させられるかを見る,2,500,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: IT戦略立案,160,課題整理,10,経営課題や事業課題を整理し、ITで解決すべき論点を明確にできる,目の前のシステム課題だけでなく、事業や経営の課題と結び付けてIT課題を整理できるかを見る,3,510,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: IT戦略立案,160,現状分析,20,現行業務とシステムの課題を整理し、改善の優先順位を示せる,業務・システムの現状を構造的に把握し、何から着手すべきかを示せるかを見る,3,520,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用: IT戦略立案,160,本質把握,30,顧客の要望をそのまま受け取るだけでなく、本質的な課題に置き換えて整理できる,表面的な要望に引っ張られず、真に解くべき課題を見抜いて整理できるかを見る,3,530,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用:全体構想,170,中長期視点,10,業務・組織・システムの関係を踏まえ、中長期で無理のないIT施策を考えられる,単発改善ではなく、将来の運用や組織体制も踏まえた施策を考えられるかを見る,3,540,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用:投資判断支援,180,施策比較,10,複数の施策案を比較し、効果・コスト・リスクを踏まえて妥当な提案ができる,案を一つに決め打ちせず、比較検討した上で現実的な提案ができるかを見る,3,550,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用:投資判断支援,180,効果整理,20,IT投資の目的と期待効果を整理し、関係者に分かりやすく説明できる,投資の必要性や期待成果を、非技術者にも伝わる形で説明できるかを見る,3,560,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用:全体構想,190,実行計画,10,全体アーキテクチャやシステム構成の方向性を整理し、段階的な実行計画に落とし込める,理想像だけでなく、現実的な段階実行の形まで示せるかを見る,3,570,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用:合意形成,200,論点調整,10,部門間や関係者間の認識差を整理し、合意形成に向けた論点整理ができる,立場の違う関係者の認識差を整理し、前向きな合意形成につなげられるかを見る,3,580,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用:合意形成,200,リスク整理,20,業務改革やシステム刷新に伴うリスクを整理し、現実的な進め方を示せる,理想論だけでなく、移行負荷や運用影響も踏まえた進め方を示せるかを見る,3,590,いいえ,有効
自律成長力,自律成長力,1 / 2 評価,応用:ITロードマップ,210,将来計画,10,顧客の将来像を踏まえ、継続的な改善や拡張につながるITロードマップを示せる,単年度の対応で終わらず、中長期での改善・拡張の道筋を示せるかを見る,3,600,いいえ,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: 対話,10,情報整理,10,相手に合わせて情報を整理し 分かりやすく伝えている,相手が理解しやすい形で伝達できているかを見る,1,610,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: 対話,10,報連相,20,必要な報告 連絡 相談を継続して行っている,必要な情報共有が遅れず継続して行われているかを見る,1,620,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: 対話,10,認識調整,30,認識差があるときに確認し すり合わせを行っている,誤解を放置せず前向きに調整できているかを見る,1,630,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: 対話,10,関係構築,40,関係者と円滑に仕事を進めるための対話を行っている,協力関係を意識したコミュニケーションができているかを見る,1,640,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: 推進連携,20,協力推進,10,周囲と役割分担しながら仕事を前に進めている,個人作業に閉じず 連携して成果を出せているかを見る,1,650,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: 推進連携,20,巻き込み,20,必要な人へ働きかけ 仕事が止まらないようにしている,受け身でなく 必要な調整を自ら行えているかを見る,1,660,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: 推進連携,20,支援行動,30,自分の役割外でも必要に応じて周囲を支援している,チーム全体の成果を意識した支援ができているかを見る,1,670,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: 推進連携,20,全体視点,40,自分の担当だけでなく チーム全体の進行を意識している,全体最適の視点を持って行動できているかを見る,1,680,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: ナレッジ共有,30,知見共有,10,自分の知見や学びを周囲へ共有している,個人の学びを周囲へ展開できているかを見る,1,690,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: ナレッジ共有,30,改善展開,20,良いやり方や改善事例を継続して展開している,改善を一度きりで終わらせず広げられているかを見る,1,700,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: ナレッジ共有,30,再利用促進,30,周囲が使いやすい形で情報を残している,他者が再利用できる状態まで整えられているかを見る,1,710,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: ナレッジ共有,30,共通知化,40,個人の知識をチームの知識へ変える行動をしている,属人化を減らし 共通資産化できているかを見る,1,720,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: 育成支援,40,後輩支援,10,後輩やメンバーへの助言 支援を継続して行っている,他者の成長を支える行動が継続しているかを見る,2,730,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: 育成支援,40,理解支援,20,相手の理解度に応じた説明やフォローを行っている,相手に合わせた支援ができているかを見る,2,740,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: 育成支援,40,成長後押し,30,相手が自走できるように成長支援を行っている,依存でなく自立につながる支援ができているかを見る,2,750,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,基本: 育成支援,40,レビュー伴走,40,レビューや伴走を通じて他者の成長につなげている,日常業務の中で育成機会を作れているかを見る,2,760,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: 顧客拡張,50,関係深化,10,顧客との関係を深める働きかけを継続して行っている,信頼関係を強める行動が継続しているかを見る,3,770,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: 顧客拡張,50,追加相談創出,20,追加提案や相談機会につながる行動を行っている,既存関係から新たな機会を生み出せているかを見る,4,780,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: 顧客拡張,50,周辺案件展開,30,周辺プロジェクトや別領域への参画機会を広げている,担当範囲を超えて展開機会をつくれているかを見る,4,790,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: 人材拡張,60,自社員増員,10,自社員の増員や配置拡大につながる働きかけを行っている,会社としての配置拡大に寄与しているかを見る,4,800,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: 人材拡張,60,配置提案,20,顧客や現場に対して適切な人材配置の提案を行っている,必要人材を見立てて提案できているかを見る,3,810,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: 人材拡張,60,受入基盤整備,30,新しく入る人が動きやすい受入環境づくりを進めている,増員後に成果が出る土台まで考えられているかを見る,3,820,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: パートナー連携,70,関係強化,10,パートナーとの信頼関係を強める行動を継続して行っている,継続的な関係強化ができているかを見る,3,830,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: パートナー連携,70,協業推進,20,パートナーと協力し 安定した推進体制づくりを行っている,協業を単発でなく運営できているかを見る,3,840,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: パートナー連携,70,情報連携,30,必要な情報共有を行い 協業が進みやすい状態をつくっている,関係者間の連携基盤を整えられているかを見る,3,850,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: 新規取引先開拓,80,接点創出,10,新規取引先や新しい接点づくりにつながる行動を行っている,新規機会の入口を作れているかを見る,4,860,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: 採用,90,採用協力,10,採用活動へ継続的に協力している,採用を組織課題として支える行動があるかを見る,3,870,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: 採用,90,魅力訴求,20,候補者へ会社の魅力を伝える働きかけを行っている,会社の魅力を言語化し伝えられているかを見る,4,880,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: 教育,100,教育実践,10,教育機会をつくり 他者の成長支援を継続して行っている,教育を単発でなく継続運用できているかを見る,3,890,はい,有効
協調相乗力,協調相乗力,0 / 1 継続実践,応用: 組織づくり,110,仕組み化,10,属人化解消や仕組み化を進め 組織全体の生産性向上につなげている,組織全体へ波及する改善を作れているかを見る,3,900,はい,有効
